Prefix Trie Stemming:
navigator = na+vigator
voyager = vo+yager
ruffian = ru+ffian
pimps = pi+mps
panders = pa+nders
whores = w+hores
protege = p+rotege
nearness = ne+arness
bergs = b+ergs
inlet = in+let
passageway = pa+ssageway
captains = ca+ptains
headlands = he+adlands
mists = m+ists
gateways = ga+teways
cape = ca+pe
precipice = p+recipice
deltas = de+ltas
intuition = in+tuition
muskets = m+uskets
cabins = ca+bins
bloodshed = b+loodshed
boatswain = b+oatswain
capstan = ca+pstan
axe = a+xe
humanitarian = hu+manitarian
crofters = c+rofters
headwaters = he+adwaters
aborigines = a+borigines
regiments = re+giments
hoes = ho+es
ravages = ra+vages
grasshoppers = gra+sshoppers
dispersal = dis+persal
huts = hu+ts
stockade = s+tockade
barony = b+arony
traders = tra+ders
fort = f+ort
withes = wi+thes
thills = t+hills
bushels = b+ushels
barley = b+arley
infantry = in+fantry
outposts = o+utposts
trader = tra+der
drovers = d+rovers
rafts = ra+fts
powder = po+wder
nets = ne+ts
mice = m+ice
plains = p+lains
patron = pa+tron
prohibiton = p+rohibiton
vitals = vi+tals
pemmican = p+emmican
lise = li+se
comrades = co+mrades
rawhide = ra+whide
rider = r+ider
stirups = s+tirups
slowness = s+lowness
litter = li+tter
leaches = le+aches
missive = m+issive
maget = ma+get
sergeant = s+ergeant
twister = t+wister
wildcat = wi+ldcat
modes = m+odes
corpulence = co+rpulence
plantation = p+lantation
pups = p+ups
maladies = ma+ladies
diarrhoea = di+arrhoea
looseness = lo+oseness
bowels = b+owels
knott = k+nott
quickstep = qui+ckstep
diorah = di+orah
poark = po+ark
stomack = s+tomack
dyerear = d+yerear
garrison = ga+rrison
hubbub = hu+bbub
escapes = e+scapes
blots = b+lots
dodge = do+dge
admonitions = a+dmonitions
sweethearts = s+weethearts
usages = u+sages
companions = co+mpanions
exploits = e+xploits
belles = b+elles
lies = li+es
comrade = co+mrade
yuse = y+use
chouise = c+houise
feler = f+eler
drunkard = d+runkard
bich = b+ich
theaf = t+heaf
pigen = pi+gen
helion = he+lion
hel = he+l
infantryman = in+fantryman
secessionists = s+ecessionists
suns = s+uns
biches = b+iches
disparagement = dis+paragement
ass = a+ss
ignoramus = i+gnoramus
guts = g+uts
bear = b+ear
puke = p+uke
regiment = re+giment
shucks = s+hucks
rascals = ra+scals
docters = do+cters
aconte = a+conte
do(c)ters = do+(c)ters
offersey = o+ffersey
homefolk = ho+mefolk
takeing = ta+keing
corporal = co+rporal
whiskey = w+hiskey
gunpowder = g+unpowder
shavings = s+havings
diary = di+ary
skunks = s+kunks
booty = b+ooty
imperialism = i+mperialism
legends = le+gends
1880s = 1+880s
curricula = c+urricula
incarnation = in+carnation
confederacy = co+nfederacy
patriotism = pa+triotism
myths = m+yths
proverbs = p+roverbs
rhymes = r+hymes
definitions = de+finitions
sentimentalists = s+entimentalists
dramatists = d+ramatists
heritages = he+ritages
lore = lo+re
anthropologists = a+nthropologists
amateurs = a+mateurs
propagandists = p+ropagandists
footnote = f+ootnote
collector = co+llector
propagandist = p+ropagandist
analyst = a+nalyst
progandist = p+rogandist
probings = p+robings
hillbilly = hi+llbilly
potpourri = po+tpourri
remedy = re+medy
poems = po+ems
bias = b+ias
candour = ca+ndour
trouser = t+rouser
armpit = a+rmpit
murders = m+urders
florist = f+lorist
bouquets = b+ouquets
wreaths = w+reaths
lurch = lu+rch
quickness = qui+ckness
plugugly = p+lugugly
casebook = ca+sebook
psychopath = p+sychopath
rackets = ra+ckets
roughneck = ro+ughneck
plasterer = p+lasterer
choir = c+hoir
acolyte = a+colyte
tenements = t+enements
honkytonks = ho+nkytonks
neighbourhood = ne+ighbourhood
housebreaking = ho+usebreaking
newsboy = ne+wsboy
waiter = wa+iter
waiters = wa+iters
vendors = ve+ndors
safe = sa+fe
breaker = b+reaker
highwayman = hi+ghwayman
interludes = in+terludes
alderman = a+lderman
bribes = b+ribes
holdups = ho+ldups
pistoleers = pi+stoleers
bullyboys = b+ullyboys
gag = ga+g
grapevine = gra+pevine
fraternisation = f+raternisation
heelers = he+elers
parable = pa+rable
felons = f+elons
fixers = f+ixers
honour = ho+nour
$2500 = $2+500
stickpin = s+tickpin
platinum = p+latinum
rubies = ru+bies
blatancy = b+latancy
feasts = f+easts
jowl = jo+wl
tributes = tri+butes
bribers = b+ribers
repeat = re+peat
landslide = la+ndslide
liking = li+king
truculence = t+ruculence
insolence = in+solence
blandness = b+landness
bodyguard = b+odyguard
referee = re+feree
slight = s+light
nighters = n+ighters
buckle = b+uckle
braggadocio = b+raggadocio
bums = b+ums
cops = co+ps
amity = a+mity
booze = b+ooze
recklessness = re+cklessness
proliferation = p+roliferation
brothels = b+rothels
concession = co+ncession
coups = co+ups
brazenness = b+razenness
stead = s+tead
tsunami = t+sunami
earthquake = e+arthquake
eruption = e+ruption
inundations = in+undations
geologists = g+eologists
archaeologists = a+rchaeologists
crest = c+rest
gravity = gra+vity
amplitude = a+mplitude
swells = s+wells
bathers = b+athers
salvo = sa+lvo
swell = s+well
suck = s+uck
reefs = re+efs
quake = qua+ke
landslides = la+ndslides
hissing = hi+ssing
roaring = ro+aring
seaquake = s+eaquake
luminosity = lu+minosity
organism = o+rganism
sardines = sa+rdines
diatoms = di+atoms
fishes = f+ishes
oscillation = o+scillation
earthquakes = e+arthquakes
seismographs = s+eismographs
epicenter = e+picenter
seismograph = s+eismograph
longitude = lo+ngitude
calculations = ca+lculations
$800,000 = $+800,000
reminders = re+minders
belts = b+elts
restlessness = re+stlessness
tremor = t+remor
valor = va+lor
cavalry = ca+valry
trooper = t+rooper
saloon = sa+loon
steed = s+teed
shamrock = s+hamrock
chuckle = c+huckle
bugler = b+ugler
platoon = p+latoon
rifleman = r+ifleman
rotc = ro+tc
berth = b+erth
beachhead = b+eachhead
crack = c+rack
cannon = ca+nnon
fodder = f+odder
ram = ra+m
piles = pi+les
reinforcements = re+inforcements
cavalrymen = ca+valrymen
stragglers = s+tragglers
grenade = g+renade
attackers = a+ttackers
instant = in+stant
bellow = b+ellow
paddies = pa+ddies
cowardice = co+wardice
battlefield = b+attlefield
imperfectability = i+mperfectability
conquests = co+nquests
skirmishes = s+kirmishes
parliaments = pa+rliaments
adherent = a+dherent
isolation = i+solation
capture = ca+pture
mask = ma+sk
auxiliaries = a+uxiliaries
troubie = t+roubie
pretensions = p+retensions
bridgehead = b+ridgehead
rattle = ra+ttle
thumping = t+humping
mortars = m+ortars
shutters = s+hutters
bicycles = b+icycles
newspaperman = ne+wspaperman
eclipse = e+clipse
toad = to+ad
din = di+n
thoroughfares = t+horoughfares
rubble = ru+bble
siege = s+iege
terrorists = t+errorists
ambush = a+mbush
buffaloes = b+uffaloes
pirogues = pi+rogues
loom = lo+om
frangipani = f+rangipani
$1.60 = $1+.60
ruts = ru+ts
escorts = e+scorts
lethargy = le+thargy
mien = m+ien
bush = b+ush
cicadas = c+icadas
notebooks = no+tebooks
squat = s+quat
dispensary = dis+pensary
bouncing = b+ouncing
coatings = co+atings
anthropologist = a+nthropologist
doctorate = do+ctorate
usom = u+som
shovels = s+hovels
infirmary = in+firmary
elders = e+lders
coconuts = co+conuts
soldiery = s+oldiery
villager = vi+llager
shirts = s+hirts
pet = p+et
rite = r+ite
myriad = m+yriad
notables = no+tables
divinities = di+vinities
happiness = ha+ppiness
villagers = vi+llagers
wrists = w+rists
maggots = ma+ggots
salve = sa+lve
weakening = w+eakening
strivings = s+trivings
blend = b+lend
synagogue = s+ynagogue
beards = b+eards
intermarriage = in+termarriage
outing = o+uting
teen = t+een
exertions = e+xertions
pursuits = p+ursuits
counterparts = co+unterparts
sexes = s+exes
marginality = ma+rginality
contradistinction = co+ntradistinction
vigilance = vi+gilance
ambiance = a+mbiance
perpetuation = p+erpetuation
breaking = b+reaking
certitudes = c+ertitudes
overprotection = o+verprotection
sorority = s+orority
tentacles = t+entacles
sallying = sa+llying
acculturation = a+cculturation
hordes = ho+rdes
fraternities = f+raternities
sororities = s+ororities
advertisements = a+dvertisements
marts = ma+rts
watchings = wa+tchings
pinnings = pi+nnings
ringings = r+ingings
mascara = ma+scara
hairdos = ha+irdos
lard = la+rd
cornstarch = co+rnstarch
menstruation = m+enstruation
tansy = ta+nsy
beefsteak = b+eefsteak
coolness = co+olness
salves = sa+lves
informant = in+formant
healing = he+aling
epsom = e+psom
ointment = o+intment
mucilage = m+ucilage
welding = w+elding
poultices = po+ultices
parings = pa+rings
cobwebs = co+bwebs
knuckle = k+nuckle
turpentine = t+urpentine
scar = s+car
chaw = c+haw
scalp = s+calp
veronica = ver+onica
herb = he+rb
rue = ru+e
antiseptic = a+ntiseptic
tetanus = t+etanus
rabies = ra+bies
madstones = ma+dstones
hydrophobia = h+ydrophobia
poker = po+ker
nosebleed = no+sebleed
nostril = no+stril
knot = k+not
sores = s+ores
blisters = b+listers
blister = b+lister
felon = f+elon
saliva = sa+liva
bite = b+ite
proverb = p+roverb
poultice = po+ultice
swellings = s+wellings
chiggers = c+higgers
berries = b+erries
pests = p+ests
bluing = b+luing
mosquito = m+osquito
soda = s+oda
wasp = wa+sp
stings = s+tings
soap = s+oap
bee = b+ee
bedbugs = b+edbugs
slats = s+lats
alum = a+lum
sublimate = s+ublimate
lice = li+ce
cinder = c+inder
flaxseed = f+laxseed
covering = co+vering
eyeball = e+yeball
wisp = wi+sp
gentian = g+entian
erysipelas = e+rysipelas
dram = d+ram
borax = b+orax
ounce = o+unce
glycerine = g+lycerine
itch = i+tch
cider = c+ider
bloodroot = b+loodroot
growths = g+rowths
sassafras = sa+ssafras
eucalyptus = e+ucalyptus
chilblains = c+hilblains
tincture = t+incture
capsicum = ca+psicum
boils = b+oils
rye = r+ye
molasses = m+olasses
elm = e+lm
corns = co+rns
calluses = ca+lluses
bandage = b+andage
drip = d+rip
sulphur = s+ulphur
eave = e+ave
arnica = a+rnica
cramps = c+ramps
brandy = b+randy
rope = ro+pe
waist = wa+ist
sprains = s+prains
plenipotentiary = p+lenipotentiary
genii = g+enii
shipper = s+hipper
wines = wi+nes
shippers = s+hippers
misrepresentation = m+isrepresentation
dishonesty = dis+honesty
blends = b+lends
drinking = d+rinking
palates = pa+lates
beginner = b+eginner
palate = pa+late
renown = re+nown
dig = di+g
requisites = re+quisites
guardian = g+uardian
purveyor = p+urveyor
pocketbooks = po+cketbooks
bargains = b+argains
corks = co+rks
furnaces = f+urnaces
purists = p+urists
purism = p+urism
bucket = b+ucket
magnums = ma+gnums
aeration = a+eration
sweetness = s+weetness
claret = c+laret
tannin = ta+nnin
sediment = s+ediment
corkscrew = co+rkscrew
wicker = wi+cker
cradles = c+radles
shortcut = s+hortcut
dregs = d+regs
clarets = c+larets
overseer = o+verseer
planter = p+lanter
inducement = in+ducement
philantrophy = p+hilantrophy
$7,000 = $+7,000
$6,666.66 = $+6,666.66
annoyances = a+nnoyances
abolitionist = a+bolitionist
civility = c+ivility
planters = p+lanters
bondage = b+ondage
solicitousness = s+olicitousness
levee = le+vee
chattels = c+hattels
regret = re+gret
jubilation = ju+bilation
diffidence = di+ffidence
appointees = a+ppointees
moderns = m+oderns
pragmatism = p+ragmatism
accountant = a+ccountant
memoir = m+emoir
prodigy = p+rodigy
find = f+ind
paratroopers = pa+ratroopers
credentials = c+redentials
renovation = re+novation
attainments = a+ttainments
dams = da+ms
impresario = i+mpresario
tempest = t+empest
sculptors = s+culptors
memorials = m+emorials
tablets = ta+blets
shrine = s+hrine
hodgepodge = ho+dgepodge
coating = co+ating
gaucherie = ga+ucherie
tenant = t+enant
sofa = s+ofa
hollowware = ho+llowware
monumentality = m+onumentality
perils = p+erils
uso = u+so
elms = e+lms
sophisticate = s+ophisticate
camaraderie = ca+maraderie
hookup = ho+okup
retriever = re+triever
informality = in+formality
disdain = dis+dain
ski = s+ki
damsel = da+msel
travelers = tra+velers
riverbanks = r+iverbanks
kisses = k+isses
skis = s+kis
terrains = t+errains
freshmen = f+reshmen
spruce = s+pruce
climbs = c+limbs
sawing = sa+wing
sawmill = sa+wmill
backwoods = b+ackwoods
proctor = p+roctor
factions = f+actions
inviolability = in+violability
charters = c+harters
oratory = o+ratory
orators = o+rators
eloquence = e+loquence
earl = e+arl
plain = p+lain
remoteness = re+moteness
log = lo+g
hut = hu+t
pagans = pa+gans
commencement = co+mmencement
retinue = re+tinue
punchbowl = p+unchbowl
exuberance = e+xuberance
punch = p+unch
underclassman = un+derclassman
pines = pi+nes
commencements = co+mmencements
curriculums = c+urriculums
brashness = b+rashness
curbside = c+urbside
stepmother = s+tepmother
travels = tra+vels
stableman = s+tableman
suspect = s+uspect
iota = i+ota
inquest = in+quest
associate = a+ssociate
vagabond = va+gabond
accomplice = a+ccomplice
alibi = a+libi
shopping = s+hopping
hatchet = ha+tchet
bloodstains = b+loodstains
exoneration = e+xoneration
pears = p+ears
myopia = m+yopia
cricket = c+ricket
butler = b+utler
domestic = do+mestic
schoolmate = s+choolmate
astronomer = a+stronomer
recitation = re+citation
botany = b+otany
zoology = z+oology
chess = c+hess
organist = o+rganist
eclipses = e+clipses
discernment = dis+cernment
exquisiteness = e+xquisiteness
hearers = he+arers
geometry = g+eometry
climbing = c+limbing
horseback = ho+rseback
riding = r+iding
brunt = b+runt
boilers = b+oilers
thankfulness = t+hankfulness
bequests = b+equests
rhetoric = r+hetoric
hardships = ha+rdships
seminary = s+eminary
memorial = m+emorial
occupations = o+ccupations
motivation = m+otivation
inequality = in+equality
learners = le+arners
relevance = re+levance
vocational = vo+cational
adjective = a+djective
stenography = s+tenography
vocation = vo+cation
typewriting = t+ypewriting
plumber = p+lumber
redevelopment = re+development
vandalism = va+ndalism
repairing = re+pairing
soybean = s+oybean
soybeans = s+oybeans
grits = g+rits
flakes = f+lakes
curd = c+urd
seedcoats = s+eedcoats
carbohydrate = ca+rbohydrate
oils = o+ils
sorghum = s+orghum
byproducts = b+yproducts
crushing = c+rushing
oilseeds = o+ilseeds
forages = f+orages
1930's = 1+930's
byproduct = b+yproduct
nonfood = no+nfood
flax = f+lax
castor = ca+stor
tung = t+ung
perilla = p+erilla
oiticica = o+iticica
varnishes = va+rnishes
poppy = po+ppy
sesame = s+esame
rape = ra+pe
castorbeans = ca+storbeans
constituent = co+nstituent
almond = a+lmond
perfumery = p+erfumery
fragrances = f+ragrances
cosmetics = co+smetics
peach = p+each
plum = p+lum
soaps = s+oaps
glycerin = g+lycerin
explosives = e+xplosives
kernel = k+ernel
detergents = de+tergents
resins = re+sins
mahua = ma+hua
shea = s+hea
starch = s+tarch
tubers = t+ubers
quince = qui+nce
psyllium = p+syllium
fleawort = f+leawort
locust = lo+cust
guar = g+uar
thickeners = t+hickeners
stabilizers = s+tabilizers
dressings = d+ressings
lotions = lo+tions
laxative = la+xative
slurries = s+lurries
lumps = lu+mps
seedcoat = s+eedcoat
kernels = k+ernels
brazil = b+razil
cashews = ca+shews
filberts = f+ilberts
hazelnuts = ha+zelnuts
hickory = hi+ckory
pecans = p+ecans
almonds = a+lmonds
pistachio = pi+stachio
copra = co+pra
saponins = sa+ponins
varnish = va+rnish
cumara = c+umara
perfumes = p+erfumes
tagua = ta+gua
endosperm = e+ndosperm
turnery = t+urnery
sago = sa+go
ornaments = o+rnaments
rosaries = ro+saries
bead = b+ead
necklaces = ne+cklaces
islanders = i+slanders
alkaloids = a+lkaloids
anise = a+nise
castorbean = ca+storbean
colchicum = co+lchicum
nux = nu+x
vomica = vo+mica
fennel = f+ennel
stramonium = s+tramonium
plasters = p+lasters
diluents = di+luents
flavors = f+lavors
flavorings = f+lavorings
coriander = co+riander
carrot = ca+rrot
cumin = c+umin
dill = di+ll
angelica = a+ngelica
beverages = b+everages
fenugreek = f+enugreek
cardamom = ca+rdamom
pods = po+ds
flavoring = f+lavoring
halvah = ha+lvah
cocoa = co+coa
cacao = ca+cao
kola = k+ola
arrack = a+rrack
brewers = b+rewers
distillers = dis+tillers
malt = ma+lt
cottonseed = co+ttonseed
oilseed = o+ilseed
herdin' = he+rdin'
strays = s+trays
hosses = ho+sses
marchin' = ma+rchin'
stampede = s+tampede
blizzards = b+lizzards
droughts = d+roughts
ranchers = ra+nchers
cowhand = co+whand
hailstorm = ha+ilstorm
pilgrims = pi+lgrims
tenderfoot = t+enderfoot
cowman = co+wman
hothouse = ho+thouse
magpies = ma+gpies
cattaloe = ca+ttaloe
hybrid = h+ybrid
bovines = b+ovines
strippers = s+trippers
meanin' = m+eanin'
steer = s+teer
steers = s+teers
corral = co+rral
pushin' = p+ushin'
hindquarters = hi+ndquarters
grassers = gra+ssers
prod = p+rod
peck = p+eck
frontiersmen = f+rontiersmen
freighters = f+reighters
bullwhackers = b+ullwhackers
tailin' = ta+ilin'
lieu = li+eu
yank = y+ank
heave = he+ave
longhorns = lo+nghorns
hoss = ho+ss
bulls = b+ulls
splotches = s+plotches
brindle = b+rindle
brockle = b+rockle
lineback = li+neback
stripe = s+tripe
lobo = lo+bo
mealynose = m+ealynose
longhorn = lo+nghorn
colorin' = co+lorin'
yaks = y+aks
buckskins = b+uckskins
coloration = co+loration
speckles = s+peckles
polecat = po+lecat
bellies = b+ellies
flank = f+lank
rustler = ru+stler
countin' = co+untin'
sellin' = s+ellin'
sayin' = sa+yin'
byword = b+yword
saloonkeeper = sa+loonkeeper
cattlemen = ca+ttlemen
rep'tation = re+p'tation
truthfulness = t+ruthfulness
denyin' = de+nyin'
synonym = s+ynonym
rustlin' = ru+stlin'
maverick = ma+verick
cowhands = co+whands
mavericks = ma+vericks
zebra = ze+bra
yell = y+ell
scrub = s+crub
creepers = c+reepers
lava = la+va
specks = s+pecks
hyena = h+yena
bend = b+end
cracks = c+racks
collie = co+llie
terrier = t+errier
flame = f+lame
barking = b+arking
baying = b+aying
lioness = li+oness
forefeet = f+orefeet
graves = gra+ves
lionesses = li+onesses
lasso = la+sso
paw = pa+w
undergrowth = un+dergrowth
crevice = c+revice
firecrackers = f+irecrackers
crackers = c+rackers
rhinoceros = r+hinoceros
noose = no+ose
aperture = a+perture
ropes = ro+pes
thorn = t+horn
gelding = g+elding
pony = po+ny
cheetah = c+heetah
cowpony = co+wpony
ropers = ro+pers
sideshow = s+ideshow
oversight = o+versight
parishes = pa+rishes
unreality = un+reality
disparity = dis+parity
separateness = s+eparateness
polity = po+lity
chumminess = c+humminess
agreeableness = a+greeableness
reconciliation = re+conciliation
congeniality = co+ngeniality
antithesis = a+ntithesis
ecumenists = e+cumenists
ecumenist = e+cumenist
nurture = nu+rture
edifice = e+difice
enthusiast = e+nthusiast
stewardship = s+tewardship
rancher = ra+ncher
inn = in+n
ma'am = ma+'am
preferences = p+references
buggies = b+uggies
fielder = f+ielder
yelps = y+elps
derision = de+rision
suspenders = s+uspenders
umpire = u+mpire
kidneys = k+idneys
payday = pa+yday
grocers = g+rocers
cool = co+ol
eccentricities = e+ccentricities
brag = b+rag
carousing = ca+rousing
knuckles = k+nuckles
armament = a+rmament
irritant = i+rritant
flagpoles = f+lagpoles
insanity = in+sanity
swan = s+wan
striving = s+triving
entertainments = e+ntertainments
brewery = b+rewery
millionaires = m+illionaires
wrappers = w+rappers
playboy = p+layboy
fits = f+its
sonofabitch = s+onofabitch
speculators = s+peculators
modality = m+odality
excursion = e+xcursion
trolley = t+rolley
martyrdom = ma+rtyrdom
chastity = c+hastity
schema = s+chema
diffusion = di+ffusion
denominators = de+nominators
configurations = co+nfigurations
socialization = s+ocialization
adolescence = a+dolescence
adolescent = a+dolescent
motherhood = m+otherhood
adulthood = a+dulthood
identities = i+dentities
snp = s+np
peer = p+eer
peers = p+eers
groping = g+roping
homemaker = ho+memaker
carreer = ca+rreer
likes = li+kes
dislikes = dis+likes
polarization = po+larization
consderations = co+nsderations
nuances = nu+ances
hurt = hu+rt
litigation = li+tigation
infringement = in+fringement
inventors = in+ventors
deposition = de+position
prolixity = p+rolixity
exhibits = e+xhibits
bouts = b+outs
retort = re+tort
clamor = c+lamor
chancery = c+hancery
strictures = s+trictures
infringements = in+fringements
depositions = de+positions
delays = de+lays
litigants = li+tigants
rims = r+ims
fluidity = f+luidity
disregard = dis+regard
interchange = in+terchange
royalty = ro+yalty
withholding = wi+thholding
adjunct = a+djunct
freebooters = f+reebooters
inventions = in+ventions
accessory = a+ccessory
ordeal = o+rdeal
debacle = de+bacle
summation = s+ummation
persuasions = p+ersuasions
laurel = la+urel
retrace = re+trace
oleanders = o+leanders
civilizations = c+ivilizations
holding = ho+lding
dolphin = do+lphin
frescoes = f+rescoes
palazzo = pa+lazzo
facade = f+acade
staircase = s+taircase
colonnade = co+lonnade
magnolia = ma+gnolia
piazza = pi+azza
aristocrats = a+ristocrats
grottoes = g+rottoes
rival = r+ival
cloisters = c+loisters
creams = c+reams
patisseries = pa+tisseries
prostitutes = p+rostitutes
twos = t+wos
threes = t+hrees
uneasiness = un+easiness
callousness = ca+llousness
keg = k+eg
ghetto = g+hetto
turf = t+urf
northerners = no+rtherners
madhouse = ma+dhouse
taboos = ta+boos
torment = to+rment
carnality = ca+rnality
riots = r+iots
rioters = r+ioters
provocateurs = p+rovocateurs
revolutionists = re+volutionists
nineties = n+ineties
snips = s+nips
headsman = he+adsman
kiss = k+iss
daring = da+ring
documentaries = do+cumentaries
travelogues = tra+velogues
dissolve = dis+solve
climaxes = c+limaxes
reel = re+el
robbers = ro+bbers
telegraph = t+elegraph
posse = po+sse
outlaws = o+utlaws
geniuses = g+eniuses
footage = f+ootage
grandmother = gra+ndmother
pail = pa+il
pursuer = p+ursuer
sequences = s+equences
actresses = a+ctresses
phonograph = p+honograph
purveyors = p+urveyors
blight = b+light
exodus = e+xodus
stratum = s+tratum
recruitment = re+cruitment
outreach = o+utreach
antennae = a+ntennae
transmutation = tra+nsmutation
insignificance = in+significance
suitability = s+uitability
statuses = s+tatuses
balances = b+alances
exclusiveness = e+xclusiveness
intrusions = in+trusions
motifs = m+otifs
schism = s+chism
stratification = s+tratification
rearguard = re+arguard
stabilities = s+tabilities
keynotes = k+eynotes
activism = a+ctivism
rearing = re+aring
rubric = ru+bric
captivity = ca+ptivity
habitants = ha+bitants
pelts = p+elts
presents = p+resents
intendants = in+tendants
insurrections = in+surrections
livres = li+vres
storehouses = s+torehouses
peltry = p+eltry
deerskins = de+erskins
ire = i+re
termini = t+ermini
enticements = e+nticements
urgings = u+rgings
indemnity = in+demnity
fortifications = f+ortifications
artisans = a+rtisans
intendant = in+tendant
probity = p+robity
kaleidoscope = k+aleidoscope
sails = sa+ils
largesse = la+rgesse
peccadilloes = p+eccadilloes
discretion = dis+cretion
whim = w+him
tuition = t+uition
franc = f+ranc
debauchery = de+bauchery
whispers = w+hispers
abasement = a+basement
heartbreak = he+artbreak
penury = p+enury
oath = o+ath
minuet = m+inuet
mauler = ma+uler
crocodile = c+rocodile
bureaucrats = b+ureaucrats
trampling = tra+mpling
tumbrels = t+umbrels
countenance = co+untenance
penchant = p+enchant
legations = le+gations
caviar = ca+viar
martini = ma+rtini
poseur = po+seur
crasher = c+rasher
tails = ta+ils
chanceries = c+hanceries
ministries = m+inistries
comma = co+mma
espionage = e+spionage
handclasp = ha+ndclasp
vogue = vo+gue
sobriquet = s+obriquet
wits = wi+ts
punditry = p+unditry
larks = la+rks
drawer = d+rawer
brochure = b+rochure
sheik = s+heik
bromides = b+romides
elusiveness = e+lusiveness
flush = f+lush
stockroom = s+tockroom
diety = di+ety
eel = e+el
lacquer = la+cquer
reflections = re+flections
artfulness = a+rtfulness
alumnae = a+lumnae
widows = wi+dows
cupboards = c+upboards
housekeeper = ho+usekeeper
usis = u+sis
suppositions = s+uppositions
prudence = p+rudence
decentralization = de+centralization
gal = ga+l
doers = do+ers
complicity = co+mplicity
exploitation = e+xploitation
importation = i+mportation
convict = co+nvict
enslavement = e+nslavement
egghead = e+gghead
shibboleths = s+hibboleths
anachronisms = a+nachronisms
outbursts = o+utbursts
friendships = f+riendships
roomful = ro+omful
bastards = b+astards
prejudice = p+rejudice
leavening = le+avening
tidewater = t+idewater
enclaves = e+nclaves
lowlands = lo+wlands
anglophilia = a+nglophilia
meddling = m+eddling
miscegenation = m+iscegenation
sharers = s+harers
inferences = in+ferences
racists = ra+cists
reactionaries = re+actionaries
egalitarianism = e+galitarianism
gastronomy = ga+stronomy
claimants = c+laimants
sovereign = s+overeign
arena = a+rena
corpus = co+rpus
reexamination = re+examination
socialist = s+ocialist
articulation = a+rticulation
watersheds = wa+tersheds
immersion = i+mmersion
truism = t+ruism
viability = vi+ability
supranationalism = s+upranationalism
breakup = b+reakup
feudalism = f+eudalism
homeland = ho+meland
nationalist = na+tionalist
fervors = f+ervors
cornucopia = co+rnucopia
quirks = qui+rks
legitimacy = le+gitimacy
antiquity = a+ntiquity
monarch = m+onarch
sovereigns = s+overeigns
indivisibility = in+divisibility
hide = hi+de
launch = la+unch
sidearms = s+idearms
cockpits = co+ckpits
compartments = co+mpartments
foxholes = f+oxholes
switches = s+witches
consoles = co+nsoles
physicists = p+hysicists
pushers = p+ushers
scenarios = s+cenarios
forefingers = f+orefingers
sociologist = s+ociologist
thinkers = t+hinkers
bmews = b+mews
norad = no+rad
telephones = t+elephones
teletypes = t+eletypes
tankers = ta+nkers
circuits = c+ircuits
routings = ro+utings
senders = s+enders
authentications = a+uthentications
ape = a+pe
sac's = sa+c's
controller = co+ntroller
colonels = co+lonels
anchors = a+nchors
alert = a+lert
klaxon = k+laxon
fragments = f+ragments
authentication = a+uthentication
authenticator = a+uthenticator
coworkers = co+workers
fragment = f+ragment
handles = ha+ndles
statuary = s+tatuary
squall = s+quall
pathos = pa+thos
slant = s+lant
lope = lo+pe
wolf = w+olf
gulley = g+ulley
runner = ru+nner
skimming = s+kimming
hummocks = hu+mmocks
discoverer = dis+coverer
puddle = p+uddle
aborigine = a+borigine
ridges = r+idges
ravines = ra+vines
saltbush = sa+ltbush
bluebush = b+luebush
malignancy = ma+lignancy
paddock = pa+ddock
grazer = gra+zer
outback = o+utback
seaports = s+eaports
boulder = b+oulder
flatland = f+latland
chaps = c+haps
speedometer = s+peedometer
bivouac = b+ivouac
dingo = di+ngo
paws = pa+ws
buggers = b+uggers
eyelids = e+yelids
sockets = s+ockets
repellent = re+pellent
rodent = ro+dent
spear = s+pear
woomera = w+oomera
boomerang = b+oomerang
stink = s+tink
cosmetic = co+smetic
fella = f+ella
tabac = ta+bac
pidgin = pi+dgin
potters = po+tters
calligraphers = ca+lligraphers
metalsmiths = m+etalsmiths
nightingales = n+ightingales
canals = ca+nals
promenades = p+romenades
miniature = m+iniature
pavilions = pa+vilions
promenade = p+romenade
poplar = po+plar
arcades = a+rcades
samovar = sa+movar
pavilion = pa+vilion
daises = da+ises
turquoise = t+urquoise
sojourner = s+ojourner
aesthetes = a+esthetes
orchard = o+rchard
teahouses = t+eahouses
mountainside = m+ountainside
maw = ma+w
vintner = vi+ntner
vintage = vi+ntage
boughs = b+oughs
caravan = ca+ravan
caravans = ca+ravans
pleasance = p+leasance
alcoves = a+lcoves
spandrels = s+pandrels
bays = b+ays
apses = a+pses
vaults = va+ults
understructure = un+derstructure
echo = e+cho
sunrise = s+unrise
sluices = s+luices
fortress = f+ortress
khan = k+han
rheum = r+heum
princes = p+rinces
limousines = li+mousines
beggars = b+eggars
hawkers = ha+wkers
prosceniums = p+rosceniums
arak = a+rak
dice = di+ce
amusements = a+musements
mullah = m+ullah
grab = gra+b
riverbank = r+iverbank
attribute = a+ttribute
tulip = t+ulip
octaves = o+ctaves
arabesque = a+rabesque
wanderings = wa+nderings
directorship = di+rectorship
lounge = lo+unge
alphabet = a+lphabet
twinkle = t+winkle
escapade = e+scapade
conservatory = co+nservatory
repertoire = re+pertoire
upheaval = u+pheaval
sonata = s+onata
synagogues = s+ynagogues
masterpieces = ma+sterpieces
judgement = ju+dgement
strangers = s+trangers
destinies = de+stinies
